Camera Number,Latitude,Longitude,Main Road,Cross Street,Group, Traffic Image , North Reference Static Image , South Reference Static Image , East Reference Static Image , West Reference Static Image
Camera8100,43.670282,-79.360379,BAYVIEW AVE,ROSEDALE VALLEY RD,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8100.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8100n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8100s.jpg ,  , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8100w.jpg
Camera8101,43.688106,-79.363722,BAYVIEW AVE,POTTERY RD,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8101.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8101n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8101s.jpg ,  , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8101w.jpg
Camera8102,43.766478,-79.387913,SHEPPARD AVE E,BAYVIEW AVE,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8102.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8102n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8102s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8102e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8102w.jpg
Camera8103,43.7524,-79.408009,YONGE ST,LORD SEATON W YONGE RAMP,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8103.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8103n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8103s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8103e.jpg ,
Camera8104,43.761234,-79.411245,SHEPPARD AVE,YONGE ST,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8104.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8104n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8104s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8104e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8104w.jpg
Camera8105,43.638838,-79.401006,BATHURST ST,FORT YORK BLVD,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8105.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8105n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8105s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8105e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8105w.jpg
Camera8106,43.755584,-79.438525,SHEPPARD AVE W,BATHURST ST,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8106.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8106n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8106s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8106e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8106w.jpg
Camera8107,43.768853,-79.467377,DUFFERIN ST,FINCH AVE W,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8107.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8107n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8107s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8107e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8107w.jpg
Camera8108,43.672406,-79.467599,KEELE ST,ST CLAIR AVE W,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8108.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8108n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8108s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8108e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8108w.jpg
Camera8109,43.781429,-79.494312,KEELE ST,STEELES AVE W,Arterial, http://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8109.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8109n.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8109s.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8109e.jpg , http://opendata.toronto.ca/transportation/tmc/rescucameraimages/ComparisonImages/loc8109w.jpg
