"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Pueblo, CO","39380",2018,32,32,0,0,0,0,0,41,38,21,0,0,0,0,18,14
"Pullman, WA","39420",2018,31,31,0,0,0,0,0,42,32,10,0,0,0,0,31,0
"Quincy, IL-MO","39500",2018,31,31,0,0,0,0,0,42,38,34,0,0,31,0,0,0
"Raleigh, NC","39580",2018,90,70,20,0,0,0,0,81,56,36,0,5,0,0,85,0
"Redding, CA","39820",2018,86,86,0,0,0,0,0,49,44,40,0,0,86,0,0,0
"Richmond, VA","40060",2018,35,32,3,0,0,0,0,58,45,24,0,0,0,0,24,11
"Riverside-San Bernardino-Ontario, CA","40140",2018,120,69,36,11,2,2,0,241,112,47,0,0,94,0,5,21
"Riverton, WY","40180",2018,28,20,8,0,0,0,0,91,70,27,0,0,0,0,23,5
"Roanoke, VA","40220",2018,90,88,2,0,0,0,0,72,35,6,0,0,0,70,20,0
"Rochester, MN","40340",2018,90,62,28,0,0,0,0,74,61,43,0,0,0,0,90,0
"Rochester, NY","40380",2018,90,75,15,0,0,0,0,68,57,39,0,0,47,0,43,0
"Rock Springs, WY","40540",2018,90,89,1,0,0,0,0,65,45,40,0,0,89,0,1,0
"Rockford, IL","40420",2018,89,85,4,0,0,0,0,74,45,33,0,0,80,0,9,0
"Rockland, ME","40500",2018,65,63,2,0,0,0,0,71,45,40,0,0,65,0,0,0
"Rocky Mount, NC","40580",2018,86,86,0,0,0,0,0,46,35,20,0,0,0,0,86,0
"Rome, GA","40660",2018,59,47,12,0,0,0,0,67,57,35,0,0,0,1,58,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2018,90,89,1,0,0,0,0,52,47,40,0,0,84,0,6,0
"Salem, OH","41400",2018,95,94,1,0,0,0,0,52,12,0,0,0,0,75,0,20
"Salinas, CA","41500",2018,59,56,3,0,0,0,0,64,40,34,0,1,51,0,6,1
"Salisbury, MD-DE","41540",2018,90,85,5,0,0,0,0,59,46,37,0,0,74,0,16,0
"Salt Lake City, UT","41620",2018,120,93,25,2,0,0,0,123,63,44,0,30,67,0,20,3
"San Diego-Carlsbad, CA","41740",2018,17,17,0,0,0,0,0,38,29,11,0,0,0,0,0,17
"San Francisco-Oakland-Hayward, CA","41860",2018,59,24,33,2,0,0,0,145,91,53,0,3,4,0,52,0
